Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.1 FI5LW4G02S4NNV length=492	458	0.589519650655022	24.9366812227074	24	9.02139006346317
@SRR034130.2 FI5LW4G02TRNPN length=378	373	0.493297587131367	37.8337801608579	40	5.67102007900582
@SRR034130.4 FI5LW4G02TLLHL length=480	468	0.459401709401709	33.4850427350427	40	8.8085630056866
@SRR034130.5 FI5LW4G02TTFDV length=450	446	0.385650224215247	27.2533632286996	27	9.12120260590019
@SRR034130.6 FI5LW4G02TZG02 length=487	482	0.390041493775934	31.3257261410788	35	9.5316368931299
@SRR034130.7 FI5LW4G02T1T8Q length=404	403	0.488833746898263	35.8312655086849	40	6.90456011521035
@SRR034130.8 FI5LW4G02R93TP length=400	398	0.444723618090452	31.1256281407035	34	8.95267695538143
@SRR034130.9 FI5LW4G02TVOY9 length=429	424	0.455188679245283	36.0424528301887	40	6.21392393797909
@SRR034130.11 FI5LW4G02TP5T2 length=463	460	0.508695652173913	33.0652173913044	38	8.58965830520239
@SRR034130.12 FI5LW4G02R40UH length=80	60	0.566666666666667	28.35	30	7.82612963633658
@SRR034130.13 FI5LW4G02TISE3 length=425	409	0.559902200488998	32.6039119804401	36	8.53623099270756
@SRR034130.15 FI5LW4G02TQ7S9 length=527	508	0.334645669291339	25.7224409448819	25	9.74850053439449
@SRR034130.16 FI5LW4G02TFMJN length=486	422	0.296208530805687	21.0947867298578	20	8.51716285030061
@SRR034130.17 FI5LW4G02TX85X length=430	427	0.362997658079625	32.5222482435597	37	9.1483006762007
@SRR034130.19 FI5LW4G02T3X5N length=393	376	0.566489361702128	24.7659574468085	24	8.1514668218375
@SRR034130.20 FI5LW4G02PUCF6 length=219	143	0.433566433566434	30.6293706293706	32	6.54311628567486
@SRR034130.21 FI5LW4G02Q2G6Z length=495	491	0.407331975560081	33.4236252545825	39	8.58759023325992
@SRR034130.22 FI5LW4G02TZ214 length=102	86	0.662790697674419	22.2906976744186	20	8.87675918481351
@SRR034130.23 FI5LW4G02TX2BP length=456	450	0.3	31.0911111111111	33	8.92448702704348
@SRR034130.24 FI5LW4G02P3L81 length=446	443	0.451467268623025	36.5507900677201	40	5.94271431643646
@SRR034130.25 FI5LW4G02Q2Z36 length=424	422	0.471563981042654	36.5805687203791	40	6.96389751212634
@SRR034130.27 FI5LW4G02PW4D9 length=435	434	0.338709677419355	36.1751152073733	40	7.56659292605571
@SRR034130.28 FI5LW4G02TOH0H length=405	389	0.511568123393316	34.8329048843188	40	7.38801949129916
@SRR034130.29 FI5LW4G02TLRTQ length=438	436	0.497706422018349	35.7408256880734	40	6.33213176189546
@SRR034130.31 FI5LW4G02THWXR length=362	361	0.46814404432133	37.7756232686981	40	4.88388093765961
@SRR034130.33 FI5LW4G02TEXFW length=351	350	0.494285714285714	37.4714285714286	40	4.7448401429331
