Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.142 FI5LW4G02RUW57 length=412	396	0.492424242424242	37.0378787878788	40	5.74972356367575
@SRR034130.144 FI5LW4G02QQJC4 length=375	360	0.380555555555556	34.5416666666667	40	8.53264662902556
@SRR034130.146 FI5LW4G02PR73I length=416	402	0.375621890547264	35.5074626865672	40	7.67066465758529
@SRR034130.148 FI5LW4G02PNUKF length=459	454	0.273127753303965	33.3832599118943	39	9.15108803954877
@SRR034130.151 FI5LW4G02TL4GV length=503	257	0.447470817120623	34.6692607003891	37	5.23095024512048
@SRR034130.153 FI5LW4G02T0I2C length=399	373	0.445040214477212	35.8150134048257	39	6.12070255756698
@SRR034130.157 FI5LW4G02RFATL length=475	452	0.404867256637168	34.6283185840708	40	8.28478121783102
@SRR034130.158 FI5LW4G02S6BVA length=230	218	0.513761467889908	34.2339449541284	40	8.3883474167474
@SRR034130.159 FI5LW4G02TGH4K length=432	413	0.460048426150121	37.8062953995157	40	4.30807089482721
@SRR034130.163 FI5LW4G02P1DOG length=469	451	0.536585365853659	36.4567627494457	40	5.6955941790542
@SRR034130.166 FI5LW4G02QQMXM length=450	426	0.448356807511737	35.7370892018779	40	7.10170716685707
@SRR034130.167 FI5LW4G02T011N length=371	294	0.479591836734694	28.3095238095238	30	7.89971990114182
@SRR034130.169 FI5LW4G02TUKB5 length=460	347	0.282420749279539	25.4841498559078	26	6.43029832015194
@SRR034130.174 FI5LW4G02TKGEL length=514	245	0.583673469387755	27.4530612244898	27	8.83053342151714
@SRR034130.175 FI5LW4G02P2LW5 length=459	396	0.452020202020202	36.2373737373737	40	6.37870009151042
@SRR034130.177 FI5LW4G02P9IHN length=424	320	0.40625	32.203125	35	7.98505596288514
@SRR034130.181 FI5LW4G02SUZ2R length=337	292	0.571917808219178	32.9349315068493	37	8.63656489930443
@SRR034130.183 FI5LW4G02TQ8G7 length=381	277	0.324909747292419	33.0758122743682	37	8.86276364915952
@SRR034130.184 FI5LW4G02T1N5S length=508	358	0.536312849162011	20.9441340782123	19	8.36205962217619
@SRR034130.185 FI5LW4G02R52GE length=379	354	0.548022598870056	37.225988700565	40	5.23929392772173
@SRR034130.186 FI5LW4G02PQDG4 length=455	340	0.405882352941176	29.5411764705882	32	8.34902773372804
@SRR034130.189 FI5LW4G02TWQ4Y length=455	423	0.574468085106383	32.0945626477541	36	8.83286322405199
@SRR034130.191 FI5LW4G02P6ZKA length=490	423	0.524822695035461	24.3617021276596	25	7.73121627900604
@SRR034130.192 FI5LW4G02PMU3X length=539	328	0.330275229357798	24.0975609756098	21	10.6465135567331
@SRR034130.195 FI5LW4G02PTSAA length=504	399	0.278195488721804	37.0551378446115	40	5.54578634183584
@SRR034130.197 FI5LW4G02TFV6D length=396	369	0.598915989159892	28.4769647696477	30	8.72839789954476
@SRR034130.198 FI5LW4G02S7WHW length=418	405	0.491358024691358	36.1012345679012	40	6.0813074624021
@SRR034130.199 FI5LW4G02SF5VR length=394	355	0.330508474576271	28.1267605633803	29	8.87504209819694
@SRR034130.200 FI5LW4G02TZWSY length=441	416	0.449519230769231	33.3725961538462	38	8.60081918151647
@SRR034130.201 FI5LW4G02TGRUC length=412	410	0.334146341463415	32.109756097561	36	8.81791643797526
@SRR034130.204 FI5LW4G02QRHW7 length=389	364	0.326923076923077	35.1758241758242	39	7.18330388406085
@SRR034130.208 FI5LW4G02QF1HE length=414	400	0.4625	35.98	40	6.77194566725848
@SRR034130.209 FI5LW4G02RF9GF length=461	415	0.481927710843373	38.8915662650602	40	2.82847856968177
@SRR034130.210 FI5LW4G02P1CX9 length=504	418	0.586124401913876	36.4425837320574	40	5.88888356679226
@SRR034130.212 FI5LW4G02QKX00 length=470	464	0.420258620689655	34.9698275862069	40	7.2158299682044
@SRR034130.215 FI5LW4G02TU89G length=401	374	0.625668449197861	36.5534759358289	40	5.67304677711583
@SRR034130.219 FI5LW4G02QM4Q9 length=390	378	0.415343915343915	37.4470899470899	40	5.39708188147905
@SRR034130.221 FI5LW4G02P0ZFX length=457	405	0.254320987654321	33.2296296296296	37	8.47939325724438
@SRR034130.222 FI5LW4G02RCBB3 length=465	440	0.443181818181818	37.2136363636364	40	4.89430848429573
@SRR034130.223 FI5LW4G02T1679 length=402	383	0.527415143603133	36.9608355091384	40	5.81170792782268
@SRR034130.224 FI5LW4G02RW083 length=394	376	0.401595744680851	35.3962765957447	39	6.85311701096351
@SRR034130.225 FI5LW4G02QGSUR length=489	416	0.461538461538462	31.6995192307692	36	9.25013056291394
@SRR034130.226 FI5LW4G02POTLI length=490	205	0.282926829268293	22.8	23	8.27789402032696
@SRR034130.227 FI5LW4G02Q6CB7 length=510	482	0.390041493775934	35.207468879668	40	7.40248498929252
@SRR034130.228 FI5LW4G02P53QD length=509	489	0.394683026584867	33.6891615541922	38	8.25673502487381
@SRR034130.232 FI5LW4G02QE22N length=439	402	0.412935323383085	30.4278606965174	33	9.3080299390972
@SRR034130.233 FI5LW4G02T1T9P length=413	397	0.64735516372796	33.7657430730479	37	7.35897962187938
@SRR034130.234 FI5LW4G02TPDPP length=449	212	0.44811320754717	37.1792452830189	37	2.05284299365848
@SRR034130.236 FI5LW4G02TY4IK length=398	256	0.5859375	30.8671875	32	7.31677749033939
@SRR034130.237 FI5LW4G02QV8RK length=473	281	0.348754448398576	37.508896797153	40	5.30506084454375
@SRR034130.238 FI5LW4G02QC9ZB length=358	336	0.354166666666667	29.4940476190476	30	9.18532055603552
@SRR034130.240 FI5LW4G02PQP4Z length=493	361	0.290858725761773	31.6648199445983	35	8.5013794980737
@SRR034130.242 FI5LW4G02S4G4R length=471	429	0.363636363636364	38.5128205128205	40	3.52599806483541
@SRR034130.243 FI5LW4G02SKGX7 length=473	450	0.553333333333333	36.8422222222222	40	5.61730498709039
@SRR034130.244 FI5LW4G02PXD8P length=420	400	0.43	36.96	40	6.21691443263107
